,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
1.5,1.03,1.69,1.66,2.03,1.8,1.62,2.05,1.25,1.33,1.17,1.25,1.45,1.17,1.05,0.92,1.34,0.8,0.75,0.78,0.82
2,2.15,2.71,2.57,2.26,2.37,1.56,1.67,1.98,1.82,1.31,1.6,1.49,1.31,1.56,1.45,1.24,1.13,1.23,1.12,1.05
2.5,3.71,3.72,2.95,2.86,3.04,2.52,2.35,2.44,2.65,2.23,2.25,2.26,2.32,2.25,2.21,2.28,2.29,2.35,1.94,2.26
3,4.91,5,5.26,5.04,5.08,5.52,5.08,5.08,4.5,4.92,4.45,4.01,3.69,3.87,3.65,3.71,3.33,3.31,3.16,3.27
